user,a6d9bDERMgJ8CgOHwquoG,LZK4RILvq6lNKfIBDtpPT,uEFvWyp7i_JTr61rMgvpc,pyNjv9i4A3WcRNK_mfmmq,wRKLb6zxuAPIsTWicXEb2,I-XBG_1NlWo0pc1YUVTsq,haeNlgCfyaVev3_bqw4HP,WP_erMqa4hMgzo4YZPl-9,CShKY0dgwWXKFG6XeV8w3,eaxrkYopmtY9uMfdftOeD,_0-Dtu4abTAclzMPpk2op,8B1cT3-y-kQ8mgVgYywEv,xvKGJTxwjwJCiGyEeGjLn,gFwoTXkAcAckZCCs9-hbJ,M05QqnDZEu0Fj6qrTtdSG,f46DJlKR6QY5XAVvrTq0X,I5mbktxDVDrpS56_2ZzlF,az0rNSr8I83DWRGHt1RpJ,feohhCkiAl599S9HGKkpe,PBOTslQiQDWkz7n6gtRRy,9c-zdRbtNg4rWX0JrWRsv,cDi1Vfe9LPRtbZfMieOXg,yc5gVRH266TWsfvrLGiI6,pUV9RWUsVI-S3UReLVeLY,rULbr8lif98CPD6bBowhQ,9BZANXTjpc2b8C8In5cY4,YCqKzGcQqZykIIWJe40QE,aifYnRrToVksZwh5Ka_rS,NQe3sR8pKUyqvQfmCSsPc,k0wpzFVmnn3NZgTqck0W_,hQZvZIseJXyUFJEZ78-fz,DZObnpKPO3cobSJWA6zaK,Rl4CQwZ4w4Y6sClp5VCS0,tLvSFKbPT-mpYhiAIxGEe,AzsGJVwqQOEKbtdYSngED
a6d9bDERMgJ8CgOHwquoG,,5,1,1,3,1,5,2,2,24,1,0,0,,2,0,2,2,1,1,13,2,2,1,1,6,,5,0,2,8,0,12,1,14
LZK4RILvq6lNKfIBDtpPT,5,,16,5,12,20,8,29,20,26,18,3,9,21,17,21,12,14,3,21,15,10,21,21,21,13,16,34,28,33,33,16,34,18,35
uEFvWyp7i_JTr61rMgvpc,1,16,,7,9,38,5,18,29,2,20,3,2,33,20,19,26,18,6,32,1,25,25,21,33,24,33,23,18,27,23,20,6,41,11
pyNjv9i4A3WcRNK_mfmmq,1,5,7,,1,10,1,6,8,1,5,0,1,11,8,11,11,7,1,8,1,1,4,5,7,5,11,8,2,6,9,11,3,4,2
wRKLb6zxuAPIsTWicXEb2,3,12,9,1,,2,2,17,4,13,7,,5,2,11,11,8,3,5,5,6,9,6,5,4,9,5,12,10,12,11,8,16,4,23
I-XBG_1NlWo0pc1YUVTsq,1,20,38,10,2,,3,21,33,1,22,7,3,28,23,27,30,12,1,22,,20,21,23,31,23,25,21,14,22,19,17,12,31,8
haeNlgCfyaVev3_bqw4HP,5,8,5,1,2,3,,7,9,17,6,,2,6,7,7,5,1,2,3,10,3,9,3,7,4,6,3,5,7,11,1,11,6,8
WP_erMqa4hMgzo4YZPl-9,2,29,18,6,17,21,7,,32,7,19,4,9,27,23,26,17,15,6,25,3,21,27,14,30,21,19,20,34,28,21,20,14,17,24
CShKY0dgwWXKFG6XeV8w3,2,20,29,8,4,33,9,32,,6,27,5,6,34,27,25,29,23,0,25,3,19,33,28,21,22,19,26,13,35,16,28,14,27,14
eaxrkYopmtY9uMfdftOeD,24,26,2,1,13,1,17,7,6,,6,1,5,3,10,3,7,6,7,1,40,15,3,5,7,11,8,15,23,7,20,4,52,11,43
_0-Dtu4abTAclzMPpk2op,1,18,20,5,7,22,6,19,27,6,,10,6,29,16,30,22,13,2,27,0,20,23,25,16,20,30,14,15,26,22,35,13,23,13
8B1cT3-y-kQ8mgVgYywEv,0,3,3,0,,7,,4,5,1,10,,2,5,1,4,3,1,1,3,1,4,10,6,5,2,6,3,0,3,2,5,0,1,1
xvKGJTxwjwJCiGyEeGjLn,0,9,2,1,5,3,2,9,6,5,6,2,,4,4,4,3,3,1,1,1,5,3,5,1,5,7,6,9,6,8,6,9,5,11
gFwoTXkAcAckZCCs9-hbJ,,21,33,11,2,28,6,27,34,3,29,5,4,,31,29,24,27,4,25,1,18,35,40,35,18,27,25,14,31,17,36,9,29,12
M05QqnDZEu0Fj6qrTtdSG,2,17,20,8,11,23,7,23,27,10,16,1,4,31,,25,14,21,3,21,3,17,16,26,20,18,22,20,13,26,24,25,16,25,23
