user,a6d9bDERMgJ8CgOHwquoG,LZK4RILvq6lNKfIBDtpPT,uEFvWyp7i_JTr61rMgvpc,pyNjv9i4A3WcRNK_mfmmq,wRKLb6zxuAPIsTWicXEb2,I-XBG_1NlWo0pc1YUVTsq,haeNlgCfyaVev3_bqw4HP,WP_erMqa4hMgzo4YZPl-9,CShKY0dgwWXKFG6XeV8w3,eaxrkYopmtY9uMfdftOeD,_0-Dtu4abTAclzMPpk2op,8B1cT3-y-kQ8mgVgYywEv,xvKGJTxwjwJCiGyEeGjLn,gFwoTXkAcAckZCCs9-hbJ,M05QqnDZEu0Fj6qrTtdSG,f46DJlKR6QY5XAVvrTq0X,I5mbktxDVDrpS56_2ZzlF,az0rNSr8I83DWRGHt1RpJ,feohhCkiAl599S9HGKkpe,PBOTslQiQDWkz7n6gtRRy,9c-zdRbtNg4rWX0JrWRsv,cDi1Vfe9LPRtbZfMieOXg,yc5gVRH266TWsfvrLGiI6,pUV9RWUsVI-S3UReLVeLY,rULbr8lif98CPD6bBowhQ,9BZANXTjpc2b8C8In5cY4,YCqKzGcQqZykIIWJe40QE,aifYnRrToVksZwh5Ka_rS,NQe3sR8pKUyqvQfmCSsPc,k0wpzFVmnn3NZgTqck0W_,hQZvZIseJXyUFJEZ78-fz,DZObnpKPO3cobSJWA6zaK,Rl4CQwZ4w4Y6sClp5VCS0,tLvSFKbPT-mpYhiAIxGEe,AzsGJVwqQOEKbtdYSngED
a6d9bDERMgJ8CgOHwquoG,1.0,0.38461538461538464,0.3333333333333333,1.0,0.42857142857142855,0.5,0.625,0.6666666666666666,1.0,0.5333333333333333,0.5,0.0,0.0,,1.0,0.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.52,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,,0.625,0.0,1.0,0.7272727272727273,0.0,0.4444444444444444,0.5,0.56
LZK4RILvq6lNKfIBDtpPT,0.38461538461538464,1.0,0.8888888888888888,0.8333333333333334,0.75,0.7692307692307693,0.7272727272727273,0.8055555555555556,0.8,0.6842105263157895,0.6923076923076923,1.0,0.9,0.9130434782608695,0.6071428571428571,0.75,0.5714285714285714,0.7777777777777778,0.5,0.75,0.8333333333333334,0.5882352941176471,0.8076923076923077,0.7777777777777778,0.75,0.5909090909090909,0.8421052631578947,0.7391304347826086,0.7567567567567568,0.8048780487804879,0.7021276595744681,0.6153846153846154,0.7906976744186046,0.6666666666666666,0.7777777777777778
uEFvWyp7i_JTr61rMgvpc,0.3333333333333333,0.8888888888888888,1.0,0.5833333333333334,0.9,0.7169811320754716,0.4166666666666667,0.6923076923076923,0.8055555555555556,0.5,0.6666666666666666,0.42857142857142855,0.5,0.8048780487804879,0.5882352941176471,0.5588235294117647,0.6842105263157895,0.8181818181818182,1.0,0.6956521739130435,0.3333333333333333,0.78125,0.7142857142857143,0.75,0.7857142857142857,0.6486486486486487,0.7674418604651163,0.8518518518518519,0.6666666666666666,0.9,0.71875,0.6451612903225806,0.6666666666666666,0.7192982456140351,0.8461538461538461
pyNjv9i4A3WcRNK_mfmmq,1.0,0.8333333333333334,0.5833333333333334,1.0,1.0,0.7142857142857143,1.0,0.75,1.0,0.5,0.7142857142857143,0.0,1.0,0.8461538461538461,0.7272727272727273,1.0,0.8461538461538461,0.7777777777777778,1.0,1.0,1.0,1.0,0.4444444444444444,0.5555555555555556,0.7,0.5555555555555556,0.7857142857142857,0.7272727272727273,0.5,0.8571428571428571,0.6428571428571429,0.7857142857142857,0.5,0.6666666666666666,0.6666666666666666
wRKLb6zxuAPIsTWicXEb2,0.42857142857142855,0.75,0.9,1.0,1.0,0.25,0.4,0.7727272727272727,0.8,0.65,0.7,,0.8333333333333334,0.3333333333333333,0.7333333333333333,0.6470588235294118,0.6153846153846154,0.6,0.625,0.625,0.75,0.6428571428571429,0.75,0.4166666666666667,0.36363636363636365,0.75,0.7142857142857143,0.5714285714285714,0.43478260869565216,0.75,0.6875,0.5714285714285714,0.64,0.36363636363636365,0.6571428571428571
I-XBG_1NlWo0pc1YUVTsq,0.5,0.7692307692307693,0.7169811320754716,0.7142857142857143,0.25,1.0,1.0,0.6363636363636364,0.7857142857142857,0.16666666666666666,0.7586206896551724,0.5833333333333334,0.6,0.7368421052631579,0.6571428571428571,0.8181818181818182,0.7142857142857143,0.5454545454545454,1.0,0.5641025641025641,,0.5405405405405406,0.6363636363636364,0.71875,0.6739130434782609,0.696969696969697,0.7352941176470589,0.75,0.56,0.7333333333333333,0.76,0.5483870967741935,0.7058823529411765,0.7045454545454546,0.6666666666666666
haeNlgCfyaVev3_bqw4HP,0.625,0.7272727272727273,0.4166666666666667,1.0,0.4,1.0,1.0,0.7,0.75,0.5862068965517241,0.75,,0.6666666666666666,1.0,0.6363636363636364,0.7,0.8333333333333334,1.0,0.3333333333333333,0.5,0.6666666666666666,0.75,0.8181818181818182,0.5,0.875,0.5714285714285714,0.8571428571428571,1.0,0.5555555555555556,0.6363636363636364,0.7333333333333333,1.0,0.7857142857142857,0.8571428571428571,0.8
WP_erMqa4hMgzo4YZPl-9,0.6666666666666666,0.8055555555555556,0.6923076923076923,0.75,0.7727272727272727,0.6363636363636364,0.7,1.0,0.8648648648648649,0.7777777777777778,0.5757575757575758,1.0,0.8181818181818182,0.6923076923076923,0.6571428571428571,0.6666666666666666,0.6538461538461539,0.6,0.6666666666666666,0.6578947368421053,0.75,0.75,0.7105263157894737,0.5833333333333334,0.8333333333333334,0.6363636363636364,0.6129032258064516,0.6451612903225806,0.7391304347826086,0.7567567567567568,0.75,0.5882352941176471,0.8235294117647058,0.6538461538461539,0.8
CShKY0dgwWXKFG6XeV8w3,1.0,0.8,0.8055555555555556,1.0,0.8,0.7857142857142857,0.75,0.8648648648648649,1.0,1.0,0.7714285714285715,0.625,0.75,0.7906976744186046,0.75,0.78125,0.8529411764705882,0.92,0.0,0.7352941176470589,1.0,0.6785714285714286,0.868421052631579,0.8235294117647058,0.84,0.7096774193548387,0.9047619047619048,0.7428571428571429,0.5909090909090909,0.875,0.6666666666666666,0.717948717948718,0.7777777777777778,0.84375,0.7
eaxrkYopmtY9uMfdftOeD,0.5333333333333333,0.6842105263157895,0.5,0.5,0.65,0.16666666666666666,0.5862068965517241,0.7777777777777778,1.0,1.0,0.6666666666666666,1.0,0.8333333333333334,1.0,0.6666666666666666,0.5,0.7777777777777778,0.8571428571428571,0.6363636363636364,0.14285714285714285,0.7692307692307693,0.8823529411764706,0.6,0.8333333333333334,1.0,0.7333333333333333,1.0,0.7894736842105263,0.8214285714285714,0.875,0.7692307692307693,0.5714285714285714,0.7536231884057971,0.7333333333333333,0.7962962962962963
_0-Dtu4abTAclzMPpk2op,0.5,0.6923076923076923,0.6666666666666666,0.7142857142857143,0.7,0.7586206896551724,0.75,0.5757575757575758,0.7714285714285715,0.6666666666666666,1.0,0.9090909090909091,0.6,0.6590909090909091,0.5517241379310345,0.6521739130434783,0.6666666666666666,0.5652173913043478,0.6666666666666666,0.6923076923076923,0.0,0.7407407407407407,0.696969696969697,0.6756756756756757,0.6153846153846154,0.625,0.6818181818181818,0.7,0.625,0.6842105263157895,0.7586206896551724,0.625,0.6842105263157895,0.7419354838709677,0.65
8B1cT3-y-kQ8mgVgYywEv,0.0,1.0,0.42857142857142855,0.0,,0.5833333333333334,,1.0,0.625,1.0,0.9090909090909091,1.0,1.0,0.7142857142857143,0.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.6,0.5555555555555556,0.4,0.6666666666666666,0.5,0.0,0.5,0.6666666666666666,0.7142857142857143,0.0,0.2,1.0
xvKGJTxwjwJCiGyEeGjLn,0.0,0.9,0.5,1.0,0.8333333333333334,0.6,0.6666666666666666,0.8181818181818182,0.75,0.8333333333333334,0.6,1.0,1.0,1.0,0.5,0.8,0.6,0.75,1.0,0.5,0.25,0.7142857142857143,0.75,0.7142857142857143,0.5,0.5555555555555556,0.7,0.5,0.5,0.6666666666666666,0.7272727272727273,0.75,0.6923076923076923,0.625,0.7333333333333333
gFwoTXkAcAckZCCs9-hbJ,,0.9130434782608695,0.8048780487804879,0.8461538461538461,0.3333333333333333,0.7368421052631579,1.0,0.6923076923076923,0.7906976744186046,1.0,0.6590909090909091,0.7142857142857143,1.0,1.0,0.8857142857142857,0.7837837837837838,0.6,0.7297297297297297,0.5714285714285714,0.6578947368421053,0.5,0.782608695652174,0.8333333333333334,0.8163265306122449,0.8536585365853658,0.6428571428571429,0.7941176470588235,0.8064516129032258,0.7777777777777778,0.8157894736842105,0.8947368421052632,0.75,0.6428571428571429,0.7435897435897436,0.8
M05QqnDZEu0Fj6qrTtdSG,1.0,0.6071428571428571,0.5882352941176471,0.7272727272727273,0.7333333333333333,0.6571428571428571,0.6363636363636364,0.6571428571428571,0.75,0.6666666666666666,0.5517241379310345,0.2,0.5,0.8857142857142857,1.0,0.7352941176470589,0.5,0.7,0.42857142857142855,0.7,0.5,0.8095238095238095,0.7619047619047619,0.7647058823529411,0.7142857142857143,0.5625,0.6875,0.625,0.5652173913043478,0.7878787878787878,0.6486486486486487,0.7352941176470589,0.6153846153846154,0.8333333333333334,0.6764705882352942
f46DJlKR6QY5XAVvrTq0X,0.0,0.75,0.5588235294117647,1.0,0.6470588235294118,0.8181818181818182,0.7,0.6666666666666666,0.78125,0.5,0.6521739130434783,0.6666666666666666,0.8,0.7837837837837838,0.7352941176470589,1.0,0.625,0.6470588235294118,0.8571428571428571,0.7241379310344828,1.0,0.5789473684210527,0.8461538461538461,0.84375,0.6857142857142857,0.5217391304347826,0.775,0.6944444444444444,0.7142857142857143,0.78125,0.717948717948718,0.6774193548387096,0.8,0.6333333333333333,0.631578947368421
I5mbktxDVDrpS56_2ZzlF,0.3333333333333333,0.5714285714285714,0.6842105263157895,0.8461538461538461,0.6153846153846154,0.7142857142857143,0.8333333333333334,0.6538461538461539,0.8529411764705882,0.7777777777777778,0.6666666666666666,0.3333333333333333,0.6,0.6,0.5,0.625,1.0,0.7575757575757576,0.5,0.5666666666666667,0.3333333333333333,0.7272727272727273,0.6666666666666666,0.6341463414634146,0.7297297297297297,0.6666666666666666,0.6170212765957447,0.6923076923076923,0.5416666666666666,0.7837837837837838,0.782608695652174,0.4827586206896552,0.7857142857142857,0.7333333333333333,0.76
