user,DZObnpKPO3cobSJWA6zaK,EmEe2TEYxAFbNqbon8csP,8B1cT3-y-kQ8mgVgYywEv,M05QqnDZEu0Fj6qrTtdSG,hQZvZIseJXyUFJEZ78-fz,NQe3sR8pKUyqvQfmCSsPc,xvKGJTxwjwJCiGyEeGjLn,tLvSFKbPT-mpYhiAIxGEe,PBOTslQiQDWkz7n6gtRRy,CShKY0dgwWXKFG6XeV8w3,I-XBG_1NlWo0pc1YUVTsq,I5mbktxDVDrpS56_2ZzlF,yc5gVRH266TWsfvrLGiI6,pUV9RWUsVI-S3UReLVeLY,cDi1Vfe9LPRtbZfMieOXg,eaxrkYopmtY9uMfdftOeD,rULbr8lif98CPD6bBowhQ,Rl4CQwZ4w4Y6sClp5VCS0,9BZANXTjpc2b8C8In5cY4,f46DJlKR6QY5XAVvrTq0X,YCqKzGcQqZykIIWJe40QE,haeNlgCfyaVev3_bqw4HP,uEFvWyp7i_JTr61rMgvpc,2zELMic0CCV-geiWqnXLZ,gFwoTXkAcAckZCCs9-hbJ,pyNjv9i4A3WcRNK_mfmmq,az0rNSr8I83DWRGHt1RpJ,a6d9bDERMgJ8CgOHwquoG,aifYnRrToVksZwh5Ka_rS,9c-zdRbtNg4rWX0JrWRsv,AzsGJVwqQOEKbtdYSngED,lxDqrTwuZCV04obOBeyfw,LZK4RILvq6lNKfIBDtpPT,feohhCkiAl599S9HGKkpe,_8OdW_ggLBKpTRnlypeUV,_0-Dtu4abTAclzMPpk2op,k0wpzFVmnn3NZgTqck0W_,wRKLb6zxuAPIsTWicXEb2,WP_erMqa4hMgzo4YZPl-9
DZObnpKPO3cobSJWA6zaK,,1,5,25,20,24,7,23,20,28,17,14,25,19,9,4,18,15,13,21,28,1,20,,37,11,12,1,26,2,17,,17,1,0,35,21,9,20
EmEe2TEYxAFbNqbon8csP,1,,,4,0,2,,1,2,3,1,0,0,2,0,0,6,1,3,3,4,,1,,2,,3,,2,1,0,,2,1,1,0,1,0,0
8B1cT3-y-kQ8mgVgYywEv,5,,,1,2,0,2,1,3,5,7,3,10,6,4,1,5,0,2,4,6,,3,,5,0,1,0,3,1,1,,3,1,0,10,3,,4
M05QqnDZEu0Fj6qrTtdSG,25,4,1,,24,13,4,25,21,28,23,15,16,26,17,11,20,17,18,25,22,8,21,,31,8,21,2,20,3,24,,17,3,0,16,26,11,23
hQZvZIseJXyUFJEZ78-fz,20,0,2,24,,23,8,15,20,17,19,18,24,20,19,25,23,27,14,28,16,12,23,,17,9,12,8,27,10,23,1,33,5,0,22,29,12,21
NQe3sR8pKUyqvQfmCSsPc,24,2,0,13,23,,10,8,7,13,14,13,19,16,25,24,22,30,19,17,12,6,18,,15,2,8,0,25,9,67,1,28,1,0,15,21,10,34
xvKGJTxwjwJCiGyEeGjLn,7,,2,4,8,10,,5,1,6,3,3,4,5,6,5,2,11,5,5,7,4,2,,5,1,4,0,6,1,12,,9,1,,6,6,5,9
tLvSFKbPT-mpYhiAIxGEe,23,1,1,25,15,8,5,,21,27,31,22,24,23,17,14,33,15,21,19,23,6,41,,29,4,19,1,26,6,12,,18,3,,23,20,4,17
PBOTslQiQDWkz7n6gtRRy,20,2,3,21,20,7,1,21,,25,22,17,18,24,16,2,28,11,23,21,24,3,32,,25,9,13,1,18,2,16,0,21,4,1,27,21,5,25
CShKY0dgwWXKFG6XeV8w3,28,3,5,28,17,13,6,27,25,,34,30,33,28,20,9,22,14,24,26,20,13,29,,34,8,23,3,26,3,14,0,22,0,,28,36,5,32
I-XBG_1NlWo0pc1YUVTsq,17,1,7,23,19,14,3,31,22,34,,30,21,23,21,1,31,12,24,28,25,3,38,,28,10,12,2,21,0,8,,21,1,0,22,22,2,21
I5mbktxDVDrpS56_2ZzlF,14,0,3,15,18,13,3,22,17,30,30,,24,26,16,8,27,12,22,25,29,6,26,,24,11,25,2,18,1,20,,12,1,1,22,29,8,17
yc5gVRH266TWsfvrLGiI6,25,0,10,16,24,19,4,24,18,33,21,24,,36,27,3,29,19,24,34,41,10,25,,36,4,21,2,25,3,21,,21,2,0,24,24,6,27
pUV9RWUsVI-S3UReLVeLY,19,2,6,26,20,16,5,23,24,28,23,26,36,,21,6,21,12,12,27,31,3,21,,40,5,15,1,23,1,14,,21,3,0,25,32,5,14
cDi1Vfe9LPRtbZfMieOXg,9,0,4,17,19,25,6,17,16,20,21,16,27,21,,16,19,14,13,14,18,5,25,,20,1,15,4,14,8,16,,11,5,1,20,20,13,22
eaxrkYopmtY9uMfdftOeD,4,0,1,11,25,24,5,14,2,9,1,8,3,6,16,,8,66,18,5,8,28,3,1,4,2,6,35,16,53,47,,34,9,0,6,8,16,8
rULbr8lif98CPD6bBowhQ,18,6,5,20,23,22,2,33,28,22,31,27,29,21,19,8,,10,26,25,24,8,33,,36,7,23,1,26,1,19,,21,1,,16,31,5,30
Rl4CQwZ4w4Y6sClp5VCS0,15,1,0,17,27,30,11,15,11,14,12,12,19,12,14,66,10,,21,14,19,16,6,1,10,3,15,13,27,30,68,,35,7,0,13,14,18,15
9BZANXTjpc2b8C8In5cY4,13,3,2,18,14,19,5,21,23,24,24,22,24,12,13,18,26,21,,13,16,5,24,,18,5,9,6,16,5,16,,15,3,0,21,14,11,22
f46DJlKR6QY5XAVvrTq0X,21,3,4,25,28,17,5,19,21,26,28,25,34,27,14,5,25,14,13,,31,8,19,,30,11,12,1,25,3,13,0,22,6,1,30,25,12,27
YCqKzGcQqZykIIWJe40QE,28,4,6,22,16,12,7,23,24,20,25,29,41,31,18,8,24,19,16,31,,6,33,0,28,11,19,1,16,0,9,,16,3,0,31,35,6,19
haeNlgCfyaVev3_bqw4HP,1,,,8,12,6,4,6,3,13,3,6,10,3,5,28,8,16,5,8,6,,6,,7,1,3,6,3,11,9,,9,2,,6,8,3,7
uEFvWyp7i_JTr61rMgvpc,20,1,3,21,23,18,2,41,32,29,38,26,25,21,25,3,33,6,24,19,33,6,,,33,7,18,2,23,1,11,,16,6,2,20,27,9,18
2zELMic0CCV-geiWqnXLZ,,,,,,,,,,,,,,,,1,,1,,,0,,,,,,0,1,0,0,0,,,0,,,,,
gFwoTXkAcAckZCCs9-hbJ,37,2,5,31,17,15,5,29,25,34,28,24,36,40,20,4,36,10,18,30,28,7,33,,,11,28,1,25,1,12,,21,4,0,29,31,3,27
pyNjv9i4A3WcRNK_mfmmq,11,,0,8,9,2,1,4,9,8,10,11,4,5,1,2,7,3,5,11,11,1,7,,11,,7,1,8,1,2,,6,1,1,5,6,1,6
az0rNSr8I83DWRGHt1RpJ,12,3,1,21,12,8,4,19,13,23,12,25,21,15,15,6,23,15,9,12,19,3,18,0,28,7,,2,10,1,7,,14,3,,13,17,3,15
a6d9bDERMgJ8CgOHwquoG,1,,0,2,8,0,0,1,1,3,2,2,2,1,4,35,1,13,6,1,1,6,2,1,1,1,2,,5,13,14,,6,2,,1,2,5,2
aifYnRrToVksZwh5Ka_rS,26,2,3,20,27,25,6,26,18,26,21,18,25,23,14,16,26,27,16,25,16,3,23,0,25,8,10,5,,6,32,,34,5,,15,27,12,20
9c-zdRbtNg4rWX0JrWRsv,2,1,1,3,10,9,1,6,2,3,0,1,3,1,8,53,1,30,5,3,0,11,1,0,1,1,1,13,6,,15,,16,3,,1,5,9,4
AzsGJVwqQOEKbtdYSngED,17,0,1,24,23,67,12,12,16,14,8,20,21,14,16,47,19,68,16,13,9,9,11,0,12,2,7,14,32,15,,1,35,5,1,14,21,24,25
lxDqrTwuZCV04obOBeyfw,,,,,1,1,,,0,0,,,,,,,,,,0,,,,,,,,,,,1,,,,,0,0,,0
LZK4RILvq6lNKfIBDtpPT,17,2,3,17,33,28,9,18,21,22,21,12,21,21,11,34,21,35,15,22,16,9,16,,21,6,14,6,34,16,35,,,3,1,18,33,12,30
feohhCkiAl599S9HGKkpe,1,1,1,3,5,1,1,3,4,0,1,1,2,3,5,9,1,7,3,6,3,2,6,0,4,1,3,2,5,3,5,,3,,,2,6,5,6
_8OdW_ggLBKpTRnlypeUV,0,1,0,0,0,0,,,1,,0,1,0,0,1,0,,0,0,1,0,,2,,0,1,,,,,1,,1,,,0,1,0,1
_0-Dtu4abTAclzMPpk2op,35,0,10,16,22,15,6,23,27,28,22,22,24,25,20,6,16,13,21,30,31,6,20,,29,5,13,1,15,1,14,0,18,2,0,,26,7,19
k0wpzFVmnn3NZgTqck0W_,21,1,3,26,29,21,6,20,21,36,22,29,24,32,20,8,31,14,14,25,35,8,27,,31,6,17,2,27,5,21,0,33,6,1,26,,14,28
wRKLb6zxuAPIsTWicXEb2,9,0,,11,12,10,5,4,5,5,2,8,6,5,13,16,5,18,11,12,6,3,9,,3,1,3,5,12,9,24,,12,5,0,7,14,,18
WP_erMqa4hMgzo4YZPl-9,20,0,4,23,21,34,9,17,25,32,21,17,27,14,22,8,30,15,22,27,19,7,18,,27,6,15,2,20,4,25,0,30,6,1,19,28,18,
