user,DZObnpKPO3cobSJWA6zaK,EmEe2TEYxAFbNqbon8csP,8B1cT3-y-kQ8mgVgYywEv,M05QqnDZEu0Fj6qrTtdSG,hQZvZIseJXyUFJEZ78-fz,NQe3sR8pKUyqvQfmCSsPc,xvKGJTxwjwJCiGyEeGjLn,tLvSFKbPT-mpYhiAIxGEe,PBOTslQiQDWkz7n6gtRRy,CShKY0dgwWXKFG6XeV8w3,I-XBG_1NlWo0pc1YUVTsq,I5mbktxDVDrpS56_2ZzlF,yc5gVRH266TWsfvrLGiI6,pUV9RWUsVI-S3UReLVeLY,cDi1Vfe9LPRtbZfMieOXg,eaxrkYopmtY9uMfdftOeD,rULbr8lif98CPD6bBowhQ,Rl4CQwZ4w4Y6sClp5VCS0,9BZANXTjpc2b8C8In5cY4,f46DJlKR6QY5XAVvrTq0X,YCqKzGcQqZykIIWJe40QE,haeNlgCfyaVev3_bqw4HP,uEFvWyp7i_JTr61rMgvpc,2zELMic0CCV-geiWqnXLZ,gFwoTXkAcAckZCCs9-hbJ,pyNjv9i4A3WcRNK_mfmmq,az0rNSr8I83DWRGHt1RpJ,a6d9bDERMgJ8CgOHwquoG,aifYnRrToVksZwh5Ka_rS,9c-zdRbtNg4rWX0JrWRsv,AzsGJVwqQOEKbtdYSngED,lxDqrTwuZCV04obOBeyfw,LZK4RILvq6lNKfIBDtpPT,feohhCkiAl599S9HGKkpe,_8OdW_ggLBKpTRnlypeUV,_0-Dtu4abTAclzMPpk2op,k0wpzFVmnn3NZgTqck0W_,wRKLb6zxuAPIsTWicXEb2,WP_erMqa4hMgzo4YZPl-9
DZObnpKPO3cobSJWA6zaK,1.0,0.16666666666666666,0.7142857142857143,0.5952380952380952,0.625,0.631578947368421,0.6363636363636364,0.575,0.5,0.6829268292682927,0.4722222222222222,0.4117647058823529,0.5434782608695652,0.4634146341463415,0.6428571428571429,0.36363636363636365,0.47368421052631576,0.625,0.4482758620689655,0.4666666666666667,0.717948717948718,0.2,0.5882352941176471,,0.74,0.7333333333333333,0.5,0.5,0.5531914893617021,0.4,0.6296296296296297,,0.5666666666666667,0.2,0.0,0.546875,0.5,0.42857142857142855,0.4878048780487805
EmEe2TEYxAFbNqbon8csP,0.16666666666666666,1.0,,1.0,0.0,0.6666666666666666,,0.25,0.3333333333333333,0.5,0.2,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.75,1.0,0.4444444444444444,,0.25,,0.3333333333333333,,1.0,,0.4,1.0,0.0,,0.6666666666666666,1.0,1.0,0.0,0.5,0.0,0.0
8B1cT3-y-kQ8mgVgYywEv,0.7142857142857143,,1.0,0.2,0.5,0.0,1.0,0.14285714285714285,0.3,0.625,0.4666666666666667,0.2727272727272727,0.8333333333333334,0.46153846153846156,0.5714285714285714,0.5,0.5,0.0,0.25,0.5,0.6,,0.3333333333333333,,0.625,0.0,0.25,0.0,0.42857142857142855,1.0,1.0,,1.0,1.0,0.0,0.9090909090909091,0.5,,0.8
M05QqnDZEu0Fj6qrTtdSG,0.5952380952380952,1.0,0.2,1.0,0.5581395348837209,0.5,0.4444444444444444,0.78125,0.6,0.717948717948718,0.575,0.4411764705882353,0.7272727272727273,0.5909090909090909,0.68,0.5789473684210527,0.625,0.53125,0.5,0.5813953488372093,0.6666666666666666,0.6666666666666666,0.5,,0.775,0.6153846153846154,0.6,0.6666666666666666,0.5405405405405406,0.3333333333333333,0.6153846153846154,,0.5,0.42857142857142855,0.0,0.43243243243243246,0.7428571428571429,0.5238095238095238,0.6388888888888888
hQZvZIseJXyUFJEZ78-fz,0.625,0.0,0.5,0.5581395348837209,1.0,0.575,0.6153846153846154,0.5769230769230769,0.5882352941176471,0.5862068965517241,0.6551724137931034,0.5806451612903226,0.6857142857142857,0.5263157894736842,0.7307692307692307,0.7352941176470589,0.696969696969697,0.6585365853658537,0.5,0.5957446808510638,0.64,0.631578947368421,0.6388888888888888,,0.7391304347826086,0.5625,0.8,0.6666666666666666,0.627906976744186,0.6666666666666666,0.6216216216216216,1.0,0.6875,0.35714285714285715,0.0,0.7333333333333333,0.6590909090909091,0.631578947368421,0.6774193548387096
NQe3sR8pKUyqvQfmCSsPc,0.631578947368421,0.6666666666666666,0.0,0.5,0.575,1.0,0.47619047619047616,0.36363636363636365,0.4117647058823529,0.5652173913043478,0.5,0.4642857142857143,0.76,0.48484848484848486,0.6097560975609756,0.7741935483870968,0.6285714285714286,0.4166666666666667,0.6129032258064516,0.6296296296296297,0.631578947368421,0.5454545454545454,0.6428571428571429,,0.6818181818181818,0.2857142857142857,0.42105263157894735,0.0,0.6097560975609756,0.5294117647058824,0.5877192982456141,0.5,0.6511627906976745,0.3333333333333333,0.0,0.5172413793103449,0.6363636363636364,0.37037037037037035,0.6296296296296297
xvKGJTxwjwJCiGyEeGjLn,0.6363636363636364,,1.0,0.4444444444444444,0.6153846153846154,0.47619047619047616,1.0,0.625,0.5,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.6,0.7142857142857143,0.4,0.6470588235294118,0.5,0.8333333333333334,0.5384615384615384,0.8,0.5,,1.0,1.0,0.5714285714285714,0.0,0.46153846153846156,0.16666666666666666,0.631578947368421,,0.9,1.0,,0.5454545454545454,0.5454545454545454,0.5555555555555556,0.8181818181818182
tLvSFKbPT-mpYhiAIxGEe,0.575,0.25,0.14285714285714285,0.78125,0.5769230769230769,0.36363636363636365,0.625,1.0,0.5384615384615384,0.8181818181818182,0.6078431372549019,0.6666666666666666,0.6153846153846154,0.5348837209302325,0.6071428571428571,0.7,0.5892857142857143,0.8333333333333334,0.5833333333333334,0.5757575757575758,0.6052631578947368,0.6,0.5857142857142857,,0.6170212765957447,0.5714285714285714,0.6333333333333333,0.25,0.7428571428571429,0.8571428571428571,0.75,,0.5454545454545454,0.375,,0.6571428571428571,0.6896551724137931,0.3333333333333333,0.4857142857142857
PBOTslQiQDWkz7n6gtRRy,0.5,0.3333333333333333,0.3,0.6,0.5882352941176471,0.4117647058823529,0.5,0.5384615384615384,1.0,0.6578947368421053,0.4888888888888889,0.4857142857142857,0.5142857142857142,0.5454545454545454,0.5925925925925926,0.18181818181818182,0.5714285714285714,0.44,0.5897435897435898,0.5675675675675675,0.48,0.5,0.6153846153846154,,0.5681818181818182,0.8181818181818182,0.5652173913043478,0.3333333333333333,0.5,0.3333333333333333,0.5714285714285714,0.0,0.7,0.4444444444444444,0.5,0.627906976744186,0.65625,0.45454545454545453,0.5434782608695652
CShKY0dgwWXKFG6XeV8w3,0.6829268292682927,0.5,0.625,0.717948717948718,0.5862068965517241,0.5652173913043478,0.6666666666666666,0.8181818181818182,0.6578947368421053,1.0,0.723404255319149,0.7317073170731707,0.825,0.7368421052631579,0.6666666666666666,0.8181818181818182,0.8148148148148148,0.7,0.6486486486486487,0.7647058823529411,0.8333333333333334,0.8125,0.7435897435897436,,0.7555555555555555,0.8888888888888888,0.8518518518518519,1.0,0.6666666666666666,0.75,0.6363636363636364,0.0,0.7333333333333333,0.0,,0.7567567567567568,0.8780487804878049,0.7142857142857143,0.8648648648648649
